replies_count,retweets_count,likes_count,date,High,Low,average_stock
2095,1313,19183,2021-03-26,643.820007,599.890015,621.855011
219,513,5246,2021-03-26,643.820007,599.890015,621.855011
383,825,7636,2021-03-26,643.820007,599.890015,621.855011
694,485,8145,2021-03-25,645.5,609.5,627.5
21584,57336,772100,2021-03-25,645.5,609.5,627.5
179,117,3370,2021-03-25,645.5,609.5,627.5
11243,17187,175873,2021-03-25,645.5,609.5,627.5
303,442,3855,2021-03-25,645.5,609.5,627.5
7311,17084,275637,2021-03-25,645.5,609.5,627.5
888,509,9297,2021-03-25,645.5,609.5,627.5
129,245,7908,2021-03-25,645.5,609.5,627.5
1085,1835,77451,2021-03-25,645.5,609.5,627.5
956,1739,16944,2021-03-24,668.02002,630.109985,649.0650025
332,342,14139,2021-03-24,668.02002,630.109985,649.0650025
3152,9279,141418,2021-03-24,668.02002,630.109985,649.0650025
4675,20572,179638,2021-03-24,668.02002,630.109985,649.0650025
36954,115994,902515,2021-03-24,668.02002,630.109985,649.0650025
106,69,2227,2021-03-24,668.02002,630.109985,649.0650025
165,184,4041,2021-03-24,668.02002,630.109985,649.0650025
497,1775,18344,2021-03-24,668.02002,630.109985,649.0650025
653,939,8605,2021-03-23,677.799988,657.51001,667.654999
257,211,4748,2021-03-23,677.799988,657.51001,667.654999
13382,43827,457848,2021-03-23,677.799988,657.51001,667.654999
338,430,9282,2021-03-23,677.799988,657.51001,667.654999
300,194,4311,2021-03-23,677.799988,657.51001,667.654999
259,435,7317,2021-03-23,677.799988,657.51001,667.654999
482,591,6757,2021-03-23,677.799988,657.51001,667.654999
693,1240,15621,2021-03-23,677.799988,657.51001,667.654999
237,146,3470,2021-03-22,699.619995,668.75,684.1849975
848,700,9079,2021-03-19,657.22998,624.619995,640.9249875
349,281,10631,2021-03-19,657.22998,624.619995,640.9249875
1120,1201,31298,2021-03-19,657.22998,624.619995,640.9249875
103,82,2233,2021-03-19,657.22998,624.619995,640.9249875
372,431,22722,2021-03-19,657.22998,624.619995,640.9249875
270,259,8234,2021-03-19,657.22998,624.619995,640.9249875
2644,2146,55090,2021-03-19,657.22998,624.619995,640.9249875
186,128,3191,2021-03-19,657.22998,624.619995,640.9249875
8835,23681,342662,2021-03-19,657.22998,624.619995,640.9249875
218,152,3768,2021-03-19,657.22998,624.619995,640.9249875
247,209,8184,2021-03-19,657.22998,624.619995,640.9249875
188,210,5025,2021-03-19,657.22998,624.619995,640.9249875
460,640,13649,2021-03-19,657.22998,624.619995,640.9249875
6898,14388,226055,2021-03-19,657.22998,624.619995,640.9249875
1706,3596,49633,2021-03-18,689.22998,652.0,670.61499
483,448,17562,2021-03-18,689.22998,652.0,670.61499
7421,13192,272626,2021-03-18,689.22998,652.0,670.61499
4791,5034,92908,2021-03-18,689.22998,652.0,670.61499
353,364,6921,2021-03-17,703.72998,651.01001,677.369995
4811,4585,66108,2021-03-17,703.72998,651.01001,677.369995
293,281,9225,2021-03-17,703.72998,651.01001,677.369995
4531,2264,69167,2021-03-17,703.72998,651.01001,677.369995
2576,5198,80826,2021-03-16,707.919983,671.0,689.4599915
22808,30968,244823,2021-03-15,713.179993,684.039978,698.6099855
781,512,18932,2021-03-15,713.179993,684.039978,698.6099855
465,944,18851,2021-03-15,713.179993,684.039978,698.6099855
3085,4306,103227,2021-03-12,694.880005,666.140015,680.51001
12073,17825,245163,2021-03-12,694.880005,666.140015,680.51001
303,125,4466,2021-03-12,694.880005,666.140015,680.51001
1034,1342,45473,2021-03-12,694.880005,666.140015,680.51001
242,115,2528,2021-03-11,702.5,677.179993,689.8399965
946,650,23470,2021-03-11,702.5,677.179993,689.8399965
398,720,19533,2021-03-11,702.5,677.179993,689.8399965
740,679,33949,2021-03-11,702.5,677.179993,689.8399965
128,83,2387,2021-03-11,702.5,677.179993,689.8399965
120,123,2735,2021-03-11,702.5,677.179993,689.8399965
314,732,5644,2021-03-11,702.5,677.179993,689.8399965
182,145,3296,2021-03-11,702.5,677.179993,689.8399965
233,416,9048,2021-03-11,702.5,677.179993,689.8399965
218,251,3083,2021-03-11,702.5,677.179993,689.8399965
351,218,5159,2021-03-10,717.849976,655.059998,686.454987
576,277,6773,2021-03-10,717.849976,655.059998,686.454987
569,256,5169,2021-03-10,717.849976,655.059998,686.454987
196,249,3162,2021-03-10,717.849976,655.059998,686.454987
177,202,4418,2021-03-10,717.849976,655.059998,686.454987
452,668,20586,2021-03-10,717.849976,655.059998,686.454987
543,490,11376,2021-03-09,678.090027,595.210022,636.6500245
545,891,13491,2021-03-09,678.090027,595.210022,636.6500245
249,146,2761,2021-03-09,678.090027,595.210022,636.6500245
197,327,3432,2021-03-09,678.090027,595.210022,636.6500245
163,314,3296,2021-03-09,678.090027,595.210022,636.6500245
473,848,21349,2021-03-09,678.090027,595.210022,636.6500245
265,175,2738,2021-03-09,678.090027,595.210022,636.6500245
1130,1205,28193,2021-03-09,678.090027,595.210022,636.6500245
12390,15582,458386,2021-03-08,620.130005,558.789978,589.4599915
368,166,4733,2021-03-08,620.130005,558.789978,589.4599915
343,417,7207,2021-03-08,620.130005,558.789978,589.4599915
168,101,2562,2021-03-08,620.130005,558.789978,589.4599915
